rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
28,Colorado Rapids ECNL G08,Colorado Storm,46752,3,1,2,0,3,1.0,3,6,-3,G2008,Champions League
29,SUSA FC ECNL G08,SUSA FC,14509,3,1,2,0,3,1.0,4,9,-5,G2008,Champions League
30,Richmond United ECNL G08,Richmond United,46822,3,0,2,1,1,0.33,4,6,-2,G2008,Champions League
31,Sting Austin ECNL G08,Sting Austin,46779,3,0,2,1,1,0.33,4,6,-2,G2008,Champions League
32,Arlington Soccer ECNL G08,Arlington Soccer Association,59916,3,0,2,1,1,0.33,5,8,-3,G2008,Champions League
33,San Juan SC ECNL G08,No Club Selection,39174,3,0,2,1,1,0.33,5,8,-3,G2008,Champions League
34,Tennessee Soccer Club ECNL G08,Tennessee SC,46804,3,0,2,1,1,0.33,1,4,-3,G2008,Champions League
35,Connecticut FC ECNL G08,Connecticut FC,46829,3,0,2,1,1,0.33,4,8,-4,G2008,Champions League
36,Loudoun Soccer ECNL G08,Northern Virginia Alliance,46824,3,0,2,1,1,0.33,1,6,-5,G2008,Champions League
37,Real Colorado Athletico ECNL G08,Real Colorado,46443,3,0,2,1,1,0.33,3,9,-6,G2008,Champions League
38,Eastside FC ECNL G08,Eastside FC (WA),46753,3,0,2,1,1,0.33,4,11,-7,G2008,Champions League
39,Indiana Fire ECNL G08,Indy Eleven Academy,46796,3,0,2,1,1,0.33,3,10,-7,G2008,Champions League
40,GSA ECNL G08,Gwinnett Soccer Academy,46812,3,0,2,1,1,0.33,0,9,-9,G2008,Champions League
41,Concorde Fire Platinum ECNL G08,Concorde Fire ,46806,3,0,2,1,1,0.33,5,16,-11,G2008,Champions League
42,FC Stars Blue ECNL G08,FC Stars,35278,3,0,3,0,0,0.0,2,7,-5,G2008,Champions League
43,Alabama FC ECNL G08,Alabama FC,46807,3,0,3,0,0,0.0,2,10,-8,G2008,Champions League
44,Tampa Bay United ECNL G08,Tampa Bay United,36328,3,0,3,0,0,0.0,3,16,-13,G2008,Champions League
1,PDA Blue ECNL G09,PDA Blue (North),13678,3,3,0,0,9,3.0,14,0,14,G2009,Champions League
2,So Cal Blues ECNL G09,So Cal Blues,60035,3,3,0,0,9,3.0,13,3,10,G2009,Champions League
3,Real Colorado National ECNL G09,Real Colorado,58631,3,3,0,0,9,3.0,11,1,10,G2009,Champions League
4,San Diego Surf ECNL G09,San Diego Surf Soccer Club,61178,3,3,0,0,9,3.0,10,0,10,G2009,Champions League
5,MVLA ECNL G09,MVLA,33438,3,3,0,0,9,3.0,12,3,9,G2009,Champions League
6,Legends FC ECNL G09,Legends FC (CA),10361,3,3,0,0,9,3.0,9,1,8,G2009,Champions League
7,San Juan SC ECNL G09,San Juan Soccer Club,31488,3,2,0,1,7,2.33,11,2,9,G2009,Champions League
