date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2020-10-04,11:00 AM,Bracket,Sting Dallas Black ECNL GU18/U19,2,1,FC Dallas ECNL GU18/U19,Sting Complex,Field 2,On Time,171816
2020-10-04,01:00 PM,Bracket,Oklahoma Celtic ECNL GU18/U19,0,14,Solar ECNL GU18/U19,Oklahoma Celtic,Field 8,On Time,171814
2020-10-04,02:00 PM,Bracket,Tulsa SC ECNL GU18/U19,1,3,Dallas Texans ECNL GU18/U19,Titan Main,Field 2,On Time,171815
2020-10-04,02:30 PM,Bracket,Sting Austin ECNL GU18/U19,1,5,Challenge SC ECNL GU18/U19,1849 Park,Field 3A,On Time,171813
2020-10-04,03:00 PM,Bracket,Classics Elite ECNL GU18/U19,1,4,AHFC ECNL GU18/U19,CE Soccer Complex,Field 6,On Time,171812
2020-10-04,05:00 PM,Bracket,DKSC ECNL GU18/U19,8,0,Sting Dallas Royal ECNL GU18/U19,MoneyGram Soccer Park,Field 5,On Time,171817
2020-10-10,10:00 AM,Bracket,Solar ECNL GU18/U19,8,0,Sting Austin ECNL GU18/U19,Gateway Park,Field 4,On Time,171822
2020-10-10,11:00 AM,Bracket,Dallas Texans ECNL GU18/U19,1,1,Classics Elite ECNL GU18/U19,Dallas Texans Lewisville,Field 2,On Time,171823
2020-10-10,01:00 PM,Bracket,Sting Dallas Black ECNL GU18/U19,2,2,Challenge SC ECNL GU18/U19,Carpenter Park,Field D,On Time,171818
2020-10-10,01:00 PM,Bracket,DKSC ECNL GU18/U19,3,0,AHFC ECNL GU18/U19,Cox Soccer Complex,Field 1,On Time,171819
2020-10-10,01:00 PM,Bracket,FC Dallas ECNL GU18/U19,3,4,Tulsa SC ECNL GU18/U19,Toyota Soccer Center,Field 5,On Time,171820
2020-10-10,01:00 PM,Bracket,Sting Dallas Royal ECNL GU18/U19,3,0,Oklahoma Celtic ECNL GU18/U19,TBD,Field 2,On Time,171821
2020-10-11,11:00 AM,Bracket,Sting Dallas Black ECNL GU18/U19,4,0,AHFC ECNL GU18/U19,Carpenter Park,Field D,On Time,171824
2020-10-11,11:00 AM,Bracket,DKSC ECNL GU18/U19,2,1,Challenge SC ECNL GU18/U19,Cox Soccer Complex,Field 1,On Time,171825
2020-10-11,11:00 AM,Bracket,Sting Dallas Royal ECNL GU18/U19,0,3,Tulsa SC ECNL GU18/U19,TBD,Field 2,On Time,171827
2020-10-11,11:00 AM,Bracket,Dallas Texans ECNL GU18/U19,4,1,Sting Austin ECNL GU18/U19,Dallas Texans Lewisville,Field 2,On Time,171829
2020-10-11,12:00 PM,Bracket,Solar ECNL GU18/U19,8,0,Classics Elite ECNL GU18/U19,Fairview Soccer Park ,Field 1,On Time,171828
2020-10-11,01:00 PM,Bracket,FC Dallas ECNL GU18/U19,5,1,Oklahoma Celtic ECNL GU18/U19,Toyota Soccer Center,Field 5,On Time,171826
2020-10-17,11:00 AM,Bracket,Challenge SC ECNL GU18/U19,7,0,Oklahoma Celtic ECNL GU18/U19,Burroughs Park,Field 4,On Time,171831
2020-10-17,01:00 PM,Bracket,FC Dallas ECNL GU18/U19,0,10,Solar ECNL GU18/U19,Toyota Soccer Center,Field 6,On Time,171832
2020-10-17,01:00 PM,Bracket,Sting Dallas Royal ECNL GU18/U19,0,1,Dallas Texans ECNL GU18/U19,Sting Complex,Field 2,On Time,171833
2020-10-18,11:00 AM,Bracket,FC Dallas ECNL GU18/U19,1,4,Dallas Texans ECNL GU18/U19,Toyota Soccer Center,Field 7,On Time,171836
2020-10-18,12:00 PM,Bracket,AHFC ECNL GU18/U19,4,1,Oklahoma Celtic ECNL GU18/U19,Campbell Road Sports Park,Field 1,On Time,171834
2020-10-18,01:00 PM,Bracket,Sting Dallas Royal ECNL GU18/U19,1,5,Solar ECNL GU18/U19,Sting Complex,Field 2,On Time,171837
2020-10-24,11:00 AM,Bracket,Classics Elite ECNL GU18/U19,1,8,Sting Dallas Black ECNL GU18/U19,CE Soccer Complex,Field 6 d don't use,On Time,171838
2020-10-24,01:00 PM,Bracket,Sting Austin ECNL GU18/U19,0,2,DKSC ECNL GU18/U19,1849 Park,Field 3B,On Time,171839
