rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
30,Tennessee SC ECNL GU13,Tennessee SC,47036,3,1,2,0,3,1.0,4,9,-5,U13,Champions League
31,FC Stars Blue ECNL GU13,FC Stars,36636,3,1,2,0,3,1.0,3,8,-5,U13,Champions League
32,GSA - ECNL GU13,Gwinnett Soccer Academy,59311,3,1,2,0,3,1.0,3,9,-6,U13,Champions League
33,Seattle United ECNL GU13,Seattle United,56728,3,0,1,2,2,0.67,0,3,-3,U13,Champions League
34,Crossfire Premier ECNL GU13,Crossfire Premier,60436,3,0,1,2,2,0.67,1,7,-6,U13,Champions League
35,Ohio Premier ECNL GU13,Ohio Premier,60137,3,0,2,1,1,0.33,2,4,-2,U13,Champions League
36,Challenge SC ECNL GU13,Challenge SC,55881,3,0,2,1,1,0.33,1,6,-5,U13,Champions League
37,Portland Thorns ECNL GU13,Portland Thorns FC,59582,3,0,2,1,1,0.33,1,6,-5,U13,Champions League
38,NC Courage ECNL GU13,NC Courage Academy,60108,3,0,2,1,1,0.33,5,11,-6,U13,Champions League
39,Ohio Elite Soccer Academy ECNL GU13,Ohio Elite Soccer Academy,47010,3,0,2,1,1,0.33,1,7,-6,U13,Champions League
40,FC Dallas ECNL GU13,FC Dallas Youth,58541,3,0,3,0,0,0.0,2,6,-4,U13,Champions League
41,Alabama FC ECNL GU13 ,Alabama FC,58734,3,0,3,0,0,0.0,2,7,-5,U13,Champions League
42,Pipeline SC ECNL GU13,Pipeline SC,46948,3,0,3,0,0,0.0,1,6,-5,U13,Champions League
43,Utah Avalanche ECNL GU13,Utah Avalanche,58149,3,0,3,0,0,0.0,2,13,-11,U13,Champions League
44,Washington Premier ECNL GU13,Washington Premier FC,54576,3,0,3,0,0,0.0,3,20,-17,U13,Champions League
1,Crossfire Premier ECNL GU14,No Club Selection,21818,3,3,0,0,9,3.0,14,3,11,U14,Champions League
2,PDA Blue ECNL GU14,PDA Blue (North),3701,3,3,0,0,9,3.0,6,1,5,U14,Champions League
3,Concorde Fire Platinum ECNL GU14,Concorde Fire ,46806,3,3,0,0,9,3.0,10,6,4,U14,Champions League
4,Slammers FC HB Koge ECNL GU14,Slammers FC HB Koge,29720,3,2,0,1,7,2.33,13,2,11,U14,Champions League
5,Eclipse Select SC ECNL GU14,Eclipse Select Soccer Club,46760,3,2,0,1,7,2.33,5,1,4,U14,Champions League
6,So Cal Blues ECNL GU14,So Cal Blues,29588,3,2,0,1,7,2.33,6,3,3,U14,Champions League
7,Real Colorado National ECNL GU14,Real Colorado,45853,3,2,0,1,7,2.33,5,2,3,U14,Champions League
8,Richmond United ECNL GU14,Richmond United,46822,3,2,0,1,7,2.33,4,1,3,U14,Champions League
9,Legends FC ECNL GU14,Legends FC (CA),8362,3,2,0,1,7,2.33,3,1,2,U14,Champions League
10,Eagles SC ECNL GU14,Eagles SC,6122,3,2,1,0,6,2.0,10,2,8,U14,Champions League
11,Sting Dallas Black ECNL GU14,Sting Soccer Club,11429,3,2,1,0,6,2.0,12,5,7,U14,Champions League
12,Solar SC ECNL GU14,Solar SC,46791,3,2,1,0,6,2.0,8,2,6,U14,Champions League
13,San Juan SC ECNL GU14,No Club Selection,39174,3,2,1,0,6,2.0,7,3,4,U14,Champions League
14,Michigan Hawks ECNL GU14,Michigan Hawks,46771,3,2,1,0,6,2.0,8,5,3,U14,Champions League
15,SLSG Navy ECNL GU14,St. Louis Scott Gallagher,46768,3,2,1,0,6,2.0,6,3,3,U14,Champions League
16,VDA ECNL GU14,Virginia Development Academy,46823,3,2,1,0,6,2.0,9,7,2,U14,Champions League
17,Penn Fusion SA ECNL GU14,Penn Fusion Soccer Academy,44737,3,2,1,0,6,2.0,5,4,1,U14,Champions League
18,Connecticut FC ECNL GU14,Connecticut FC,46829,3,2,1,0,6,2.0,5,4,1,U14,Champions League
19,De Anza Force ECNL GU14,Force,45841,3,2,1,0,6,2.0,4,3,1,U14,Champions League
20,San Diego Surf Soccer Club - San Diego Surf ECNL G,San Diego Surf Soccer Club,45875,3,1,0,2,5,1.67,7,3,4,U14,Champions League
21,FC Stars Blue ECNL GU14,FC Stars,35278,3,1,0,2,5,1.67,4,3,1,U14,Champions League
22,Sting Austin ECNL GU14,Sting Austin,46779,3,1,1,1,4,1.33,6,2,4,U14,Champions League
23,MVLA ECNL GU14,MVLA,30872,3,1,1,1,4,1.33,7,6,1,U14,Champions League
24,CESA ECNL GU14,Carolina Elite Soccer Academy,27972,3,1,1,1,4,1.33,6,9,-3,U14,Champions League
25,Kansas City Athletics - ECNL GU14,KC Athletics,33175,3,1,2,0,3,1.0,6,7,-1,U14,Champions League
26,Sporting California Arsenal FC - ECNL GU14,Sporting California USA,28062,3,1,2,0,3,1.0,4,5,-1,U14,Champions League
27,Arlington Soccer ECNL GU14,Arlington Soccer Association,59916,3,1,2,0,3,1.0,4,5,-1,U14,Champions League
28,World Class FC ECNL GU14,World Class FC,36640,3,1,2,0,3,1.0,4,5,-1,U14,Champions League
29,Mustang SC ECNL GU14,Mustang Soccer,4653,3,1,2,0,3,1.0,5,7,-2,U14,Champions League
30,Beach FC ECNL GU14,Beach Futbol Club,60045,3,1,2,0,3,1.0,5,7,-2,U14,Champions League
31,Alabama FC ECNL GU14,Alabama FC,46807,3,1,2,0,3,1.0,4,7,-3,U14,Champions League
32,GSA ECNL GU14,Gwinnett Soccer Academy,46812,3,1,2,0,3,1.0,2,5,-3,U14,Champions League
33,Internationals SC ECNL GU14,Internationals SC,46797,3,1,2,0,3,1.0,5,9,-4,U14,Champions League
34,NC Courage ECNL GU14,NC Courage Academy,44728,3,1,2,0,3,1.0,6,11,-5,U14,Champions League
35,Washington Premier ECNL GU14,Washington Premier FC,39098,3,1,2,0,3,1.0,4,9,-5,U14,Champions League
36,Concorde Fire Premier - ECNL GU14,Concorde Fire ,46809,3,1,2,0,3,1.0,2,8,-6,U14,Champions League
37,Eastside FC ECNL GU14,Eastside FC (WA),46753,3,0,2,1,1,0.33,3,5,-2,U14,Champions League
38,Tennessee Soccer Club ECNL GU14,Tennessee SC,46804,3,0,2,1,1,0.33,2,4,-2,U14,Champions League
39,Minnesota Thunder ECNL GU14,Minnesota Thunder Academy,46774,3,0,2,1,1,0.33,2,8,-6,U14,Champions League
40,Pipeline SC ECNL GU14,Pipeline SC,45827,3,0,3,0,0,0.0,2,7,-5,U14,Champions League
41,DKSC ECNL GU14,No Club Selection,45734,3,0,3,0,0,0.0,2,9,-7,U14,Champions League
42,La Roca FC ECNL GU14,La Roca FC,45848,3,0,3,0,0,0.0,2,11,-9,U14,Champions League
43,Indiana Fire ECNL GU14,Indy Eleven Academy,46796,3,0,3,0,0,0.0,2,13,-11,U14,Champions League
44,WNY Flash ECNL GU14,WNY Flash Academy,12942,3,0,3,0,0,0.0,2,15,-13,U14,Champions League
1,Solar SC ECNL GU15,Solar SC,20122,3,3,0,0,9,3.0,18,1,17,U15,Champions League
2,Slammers FC HB Koge ECNL GU15,Slammers FC HB Koge,8995,3,3,0,0,9,3.0,13,2,11,U15,Champions League
3,FC Stars Blue  - ECNL GU15,FC Stars,19883,3,3,0,0,9,3.0,12,1,11,U15,Champions League
4,San Juan SC ECNL GU15,San Juan Soccer Club,35173,3,3,0,0,9,3.0,10,1,9,U15,Champions League
5,PDA Blue ECNL GU15,PDA Blue (North),1967,3,3,0,0,9,3.0,10,1,9,U15,Champions League
6,Beach FC ECNL GU15,Beach Futbol Club,46284,3,3,0,0,9,3.0,9,4,5,U15,Champions League
7,FC Dallas ECNL GU15,FC Dallas Youth,46783,3,3,0,0,9,3.0,7,3,4,U15,Champions League
8,DKSC ECNL GU15,No Club Selection,35219,3,3,0,0,9,3.0,6,3,3,U15,Champions League
9,SLAMMERS FC ECNL GU15,Slammers FC,18022,3,2,0,1,7,2.33,9,3,6,U15,Champions League
10,OK Energy FC ECNL GU15,Oklahoma Energy FC,59504,3,2,0,1,7,2.33,8,4,4,U15,Champions League
11,MVLA ECNL GU15,MVLA,35169,3,2,1,0,6,2.0,12,7,5,U15,Champions League
12,Legends FC ECNL GU15,Legends FC (CA),28540,3,2,1,0,6,2.0,8,3,5,U15,Champions League
13,SLSG Navy ECNL GU15,St. Louis Scott Gallagher,34464,3,2,1,0,6,2.0,7,3,4,U15,Champions League
14,Michigan Hawks  ECNL GU15,Michigan Hawks,35251,3,2,1,0,6,2.0,7,3,4,U15,Champions League
15,Sporting Blue Valley ECNL GU15,Sporting Blue Valley,46618,3,2,1,0,6,2.0,6,3,3,U15,Champions League
16,Jacksonville FC ECNL GU15,No Club Selection,35265,3,2,1,0,6,2.0,7,5,2,U15,Champions League
17,SUSA FC ECNL GU15,SUSA FC,33738,3,2,1,0,6,2.0,6,5,1,U15,Champions League
18,World Class FC ECNL GU15,World Class FC,35284,3,2,1,0,6,2.0,8,8,0,U15,Champions League
19,San Diego Surf ECNL GU15,San Diego Surf Soccer Club,45876,3,2,1,0,6,2.0,7,7,0,U15,Champions League
20,Connecticut FC ECNL GU15,Connecticut FC,24089,3,2,1,0,6,2.0,5,6,-1,U15,Champions League
21,VA Union ECNL GU15,Fairfax Virginia Union,25892,3,1,1,1,4,1.33,6,4,2,U15,Champions League
22,Richmond United ECNL GU15,Richmond United,22314,3,1,1,1,4,1.33,6,5,1,U15,Champions League
23,Eclipse Select SC - ECNL GU15,Eclipse Select Soccer Club,13614,3,1,1,1,4,1.33,5,7,-2,U15,Champions League
24,Cleveland Force SC 07G ECNL,Cleveland Force SC,46989,3,1,1,1,4,1.33,4,7,-3,U15,Champions League
25,Internationals SC ECNL GU15,Internationals SC,35240,3,1,2,0,3,1.0,5,5,0,U15,Champions League
26,Utah Avalanche ECNL GU15,Utah Avalanche,35178,3,1,2,0,3,1.0,4,4,0,U15,Champions League
27,Indiana Fire ECNL GU15,Indy Eleven Academy,23407,3,1,2,0,3,1.0,5,6,-1,U15,Champions League
28,Tennessee Soccer Club ECNL GU15,Tennessee SC,35277,3,1,2,0,3,1.0,7,10,-3,U15,Champions League
29,Orlando City ECNL GU15,Seminole United,35258,3,1,2,0,3,1.0,4,9,-5,U15,Champions League
30,Real Colorado National ECNL GU15,Real Colorado,45854,3,1,2,0,3,1.0,3,8,-5,U15,Champions League
31,Crossfire Premier - ECNL GU15,No Club Selection,26840,3,0,1,2,2,0.67,5,9,-4,U15,Champions League
32,Penn Fusion SA ECNL GU15,No Club Selection,44736,3,0,1,2,2,0.67,2,6,-4,U15,Champions League
33,Match Fit Academy ECNL GU15,Match Fit Surf,34504,3,0,2,1,1,0.33,5,8,-3,U15,Champions League
34,Concorde Fire Platinum - ECNL GU15,Concorde Fire ,35256,3,0,2,1,1,0.33,3,6,-3,U15,Champions League
35,NC Courage ECNL GU15,NC Courage Academy,44729,3,0,2,1,1,0.33,4,8,-4,U15,Champions League
36,Seattle United ECNL GU15,Seattle United,35177,3,0,2,1,1,0.33,2,7,-5,U15,Champions League
37,United Futbol Academy ECNL GU15,United Futbol Academy,45835,3,0,2,1,1,0.33,5,11,-6,U15,Champions League
38,Phoenix Rising ECNL GU15,Phoenix Rising FC,35183,3,0,2,1,1,0.33,2,10,-8,U15,Champions League
39,Kansas City Athletics ECNL GU15,KC Athletics,19672,3,0,3,0,0,0.0,7,12,-5,U15,Champions League
40,Loudoun Soccer ECNL GU15,Northern Virginia Alliance,35287,3,0,3,0,0,0.0,1,6,-5,U15,Champions League
41,Eastside FC ECNL GU15,Eastside FC (WA),35153,3,0,3,0,0,0.0,2,8,-6,U15,Champions League
42,Mustang SC ECNL GU15,Mustang Soccer,18803,3,0,3,0,0,0.0,0,10,-10,U15,Champions League
43,Wilmington Hammerheads ECNL GU15,No Club Selection,35272,3,0,3,0,0,0.0,3,14,-11,U15,Champions League
44,La Roca FC ECNL GU15,La Roca FC,45849,3,0,3,0,0,0.0,0,12,-12,U15,Champions League
1,PDA Blue ECNL GU16,PDA Blue (North),1822,3,3,0,0,9,3.0,13,3,10,U16,Champions League
2,Internationals SC ECNL GU16,Internationals SC,20363,3,3,0,0,9,3.0,12,3,9,U16,Champions League
3,SLSG Navy ECNL GU16,St. Louis Scott Gallagher,20075,3,3,0,0,9,3.0,8,0,8,U16,Champions League
4,FC Dallas ECNL GU16,FC Dallas Youth,46784,3,3,0,0,9,3.0,8,0,8,U16,Champions League
5,Solar SC ECNL GU16,Solar SC,11423,3,3,0,0,9,3.0,12,5,7,U16,Champions League
6,VDA ECNL GU16,Virginia Development Academy,19656,3,3,0,0,9,3.0,9,2,7,U16,Champions League
7,World Class FC ECNL GU16,World Class FC,20357,3,3,0,0,9,3.0,6,3,3,U16,Champions League
8,Slammers FC HB Koge ECNL GU16,Slammers FC HB Koge,17118,3,2,0,1,7,2.33,8,3,5,U16,Champions League
9,NC Fusion ECNL GU16,NC Fusion,20316,3,2,0,1,7,2.33,9,5,4,U16,Champions League
10,Eclipse Select SC ECNL GU16,Eclipse Select Soccer Club,20375,3,2,1,0,6,2.0,12,3,9,U16,Champions League
11,SLAMMERS FC ECNL GU16,Slammers FC,9292,3,2,1,0,6,2.0,9,4,5,U16,Champions League
12,Concorde Fire Platinum ECNL GU16,Concorde Fire ,19885,3,2,1,0,6,2.0,8,5,3,U16,Champions League
13,Ohio Premier ECNL GU16,Ohio Premier,20367,3,2,1,0,6,2.0,7,4,3,U16,Champions League
14,So Cal Blues ECNL GU16,So Cal Blues,13344,3,2,1,0,6,2.0,7,5,2,U16,Champions League
15,Connecticut FC ECNL GU16,Connecticut FC,11478,3,2,1,0,6,2.0,5,3,2,U16,Champions League
16,Bethesda SC ECNL GU16,Bethesda SC,20341,3,2,1,0,6,2.0,4,2,2,U16,Champions League
17,NC Courage ECNL GU16,NC Courage Academy,44730,3,2,1,0,6,2.0,4,2,2,U16,Champions League
18,Colorado Rapids ECNL GU16,Colorado Storm,21349,3,2,1,0,6,2.0,5,4,1,U16,Champions League
19,Kansas City Athletics ECNL GU16,KC Athletics,19372,3,2,1,0,6,2.0,3,2,1,U16,Champions League
20,San Juan SC ECNL GU16,San Juan Soccer Club,20430,3,2,1,0,6,2.0,7,7,0,U16,Champions League
21,OK Energy FC ECNL GU16,Oklahoma Energy FC,59505,3,2,1,0,6,2.0,7,8,-1,U16,Champions League
22,San Diego Surf ECNL GU16,San Diego Surf Soccer Club,45877,3,1,0,2,5,1.67,4,2,2,U16,Champions League
23,La Roca FC ECNL GU16,La Roca FC,45850,3,1,1,1,4,1.33,7,4,3,U16,Champions League
24,FC Alliance ECNL GU16,FC Alliance TN,20358,3,1,1,1,4,1.33,2,5,-3,U16,Champions League
25,LAFC So Cal ECNL GU16,LAFC So Cal,45889,3,1,2,0,3,1.0,3,3,0,U16,Champions League
26,United Futbol Academy ECNL GU16,United Futbol Academy,45836,3,1,2,0,3,1.0,3,4,-1,U16,Champions League
27,Penn Fusion SA ECNL GU16,Penn Fusion Soccer Academy,44735,3,1,2,0,3,1.0,3,5,-2,U16,Champions League
28,Legends FC ECNL GU16,Legends FC (CA),4624,3,1,2,0,3,1.0,4,7,-3,U16,Champions League
29,Tampa Bay United ECNL GU16,Tampa Bay United,20339,3,1,2,0,3,1.0,2,5,-3,U16,Champions League
30,Northwest Elite FC ECNL GU16,Oregon Surf SC,18342,3,1,2,0,3,1.0,5,9,-4,U16,Champions League
31,VA Union ECNL GU16,Fairfax Virginia Union,20314,3,1,2,0,3,1.0,4,8,-4,U16,Champions League
32,FC Bucks ECNL GU16,HEX FC,20344,3,1,2,0,3,1.0,3,7,-4,U16,Champions League
33,DKSC ECNL GU16,No Club Selection,19628,3,0,2,1,1,0.33,4,8,-4,U16,Champions League
34,SUSA FC ECNL GU16,SUSA FC,20356,3,0,2,1,1,0.33,2,6,-4,U16,Champions League
35,Crossfire Premier ECNL GU16,Crossfire Premier,13932,3,0,2,1,1,0.33,2,6,-4,U16,Champions League
36,Ohio Elite Soccer Academy ECNL GU16,Ohio Elite Soccer Academy,20365,3,0,2,1,1,0.33,6,11,-5,U16,Champions League
37,Minnesota Thunder ECNL GU16,No Club Selection,20378,3,0,2,1,1,0.33,3,9,-6,U16,Champions League
38,GSA ECNL GU16,Gwinnett Soccer Academy,20326,3,0,2,1,1,0.33,1,7,-6,U16,Champions League
39,Sporting Blue Valley ECNL GU16,Sporting Blue Valley,46619,3,0,3,0,0,0.0,5,9,-4,U16,Champions League
40,Davis Legacy ECNL GU16,Davis Legacy Soccer Club,20425,3,0,3,0,0,0.0,1,5,-4,U16,Champions League
41,Charlotte SA ECNL GU16,Charlotte Soccer Academy,44723,3,0,3,0,0,0.0,0,6,-6,U16,Champions League
42,Washington Premier ECNL GU16,Washington Premier FC,18776,3,0,3,0,0,0.0,2,9,-7,U16,Champions League
43,MVLA ECNL GU16,MVLA,20426,3,0,3,0,0,0.0,4,13,-9,U16,Champions League
44,Rebels SC ECNL GU16,Rebels Soccer Club,35184,3,0,3,0,0,0.0,2,14,-12,U16,Champions League
1,Slammers FC HB Koge ECNL GU17,Slammers FC HB Koge,10076,3,3,0,0,9,3.0,12,3,9,U17,Champions League
2,San Diego Surf ECNL GU17,San Diego Surf Soccer Club,45878,3,3,0,0,9,3.0,11,3,8,U17,Champions League
3,Internationals SC ECNL GU17,Internationals SC,12534,3,3,0,0,9,3.0,8,0,8,U17,Champions League
4,Davis Legacy ECNL GU17,Davis Legacy Soccer Club,11107,3,3,0,0,9,3.0,8,3,5,U17,Champions League
5,World Class FC ECNL GU17,World Class FC,12262,3,3,0,0,9,3.0,7,2,5,U17,Champions League
6,Crossfire Premier ECNL GU17,Crossfire Premier,12590,3,3,0,0,9,3.0,13,9,4,U17,Champions League
7,Penn Fusion SA ECNL GU17,Penn Fusion Soccer Academy,44734,3,2,0,1,7,2.33,9,1,8,U17,Champions League
8,Richmond United ECNL GU17,Richmond United,11507,3,2,1,0,6,2.0,7,1,6,U17,Champions League
9,Sporting Blue Valley ECNL GU17,Sporting Blue Valley,46620,3,2,1,0,6,2.0,7,2,5,U17,Champions League
10,PDA Blue ECNL GU17,PDA Blue (North),1792,3,2,1,0,6,2.0,12,8,4,U17,Champions League
11,FC Dallas ECNL GU17,FC Dallas Youth,46785,3,2,1,0,6,2.0,8,4,4,U17,Champions League
12,MVLA ECNL GU17,MVLA,12024,3,2,1,0,6,2.0,9,6,3,U17,Champions League
13,Real Colorado National ECNL GU17,Real Colorado,45856,3,2,1,0,6,2.0,7,4,3,U17,Champions League
14,La Roca FC ECNL GU17,La Roca FC,45851,3,2,1,0,6,2.0,6,5,1,U17,Champions League
15,Beach FC ECNL GU17,Beach Futbol Club,46287,3,2,1,0,6,2.0,4,3,1,U17,Champions League
16,Wilmington Hammerheads Youth FC  - Wilmington Hamm,Wilmington Hammerheads,19666,3,2,1,0,6,2.0,6,6,0,U17,Champions League
17,United Futbol Academy ECNL GU17,United Futbol Academy,45837,3,2,1,0,6,2.0,5,5,0,U17,Champions League
18,FC Stars Blue ECNL GU17,FC Stars,19893,3,2,1,0,6,2.0,5,5,0,U17,Champions League
19,Kansas City Athletics ECNL GU17,KC Athletics,19378,3,2,1,0,6,2.0,5,5,0,U17,Champions League
20,NC Fusion ECNL GU17,NC Fusion,13554,3,2,1,0,6,2.0,6,7,-1,U17,Champions League
21,GSA ECNL GU17,Gwinnett Soccer Academy,11636,3,2,1,0,6,2.0,7,9,-2,U17,Champions League
22,Florida Elite ECNL GU17,Sporting SA,11546,3,2,1,0,6,2.0,4,8,-4,U17,Champions League
23,Solar SC ECNL GU17,Solar SC,11427,3,1,0,2,5,1.67,9,7,2,U17,Champions League
24,Utah Royals FC-AZ ECNL U17,Utah Royals FC - AZ,56707,3,1,0,2,5,1.67,7,5,2,U17,Champions League
25,Florida Krush ECNL GU17,No Club Selection,11093,3,1,1,1,4,1.33,6,5,1,U17,Champions League
26,NC Courage ECNL GU17,NC Courage Academy,44731,3,1,1,1,4,1.33,5,5,0,U17,Champions League
27,AHFC ECNL GU17,Albion Hurricanes FC,12271,3,1,2,0,3,1.0,7,7,0,U17,Champions League
28,Tennessee Soccer Club ECNL GU17,Tennessee SC,11643,3,1,2,0,3,1.0,4,5,-1,U17,Champions League
29,Portland Thorns ECNL GU17,Portland Thorns FC,45862,3,1,2,0,3,1.0,3,4,-1,U17,Champions League
30,OK Energy FC ECNL GU17,Oklahoma Energy FC,59506,3,1,2,0,3,1.0,7,9,-2,U17,Champions League
31,Michigan Hawks ECNL GU17,Michigan Hawks,19897,3,1,2,0,3,1.0,4,6,-2,U17,Champions League
32,Pipeline SC ECNL GU17,No Club Selection,45830,3,1,2,0,3,1.0,3,6,-3,U17,Champions League
33,Minnesota Thunder ECNL GU17,No Club Selection,12530,3,1,2,0,3,1.0,5,9,-4,U17,Champions League
34,PDA White ECNL GU17,Players Development Academy,1866,3,0,2,1,1,0.33,2,4,-2,U17,Champions League
35,Sporting California Arsenal FC - ECNL GU17,Sporting California USA,15648,3,0,2,1,1,0.33,4,7,-3,U17,Champions League
36,SLSG Navy ECNL GU17,St. Louis Scott Gallagher,11283,3,0,2,1,1,0.33,3,7,-4,U17,Champions League
37,DKSC ECNL GU17,No Club Selection,11872,3,0,3,0,0,0.0,1,4,-3,U17,Champions League
38,Mustang SC ECNL GU17,Mustang Soccer,12598,3,0,3,0,0,0.0,4,8,-4,U17,Champions League
39,Kings Hammer SC ECNL GU17, Kings Hammer Columbus,47020,3,0,3,0,0,0.0,5,10,-5,U17,Champions League
40,Charlotte SA ECNL GU17,Charlotte Soccer Academy,44724,3,0,3,0,0,0.0,3,10,-7,U17,Champions League
41,Ohio Premier ECNL GU17,Ohio Premier,12300,3,0,3,0,0,0.0,3,10,-7,U17,Champions League
42,Strikers FC ECNL GU17,Strikers FC ECNL,20460,3,0,3,0,0,0.0,5,13,-8,U17,Champions League
43,Ohio Elite Soccer Academy ECNL GU17,Ohio Elite Soccer Academy,7589,3,0,3,0,0,0.0,4,12,-8,U17,Champions League
44,Northwest Elite FC ECNL GU17,Oregon Surf SC,7129,3,0,3,0,0,0.0,1,9,-8,U17,Champions League
